recommendation1,recommendation2,recommendation3
2004,564,496
1825,1965,1483
546,442,1841
1914,1136,1058
215,748,1284
1034,610,33
414,1178,1347
1967,377,1520
1956,801,1252
1956,1382,1893
1532,1956,1547
1072,438,1315
890,119,393
524,1484,687
524,597,827
378,1450,1383
161,1299,524
255,579,388
380,1494,618
546,1404,479
1558,66,331
1054,1533,1585
1450,572,1248
1132,1535,967
1482,1315,1980
1315,1072,1361
887,1949,1389
1598,1126,867
972,1231,1245
763,1174,1370
31,89,662
30,1135,662
388,121,160
1288,610,1034
34,469,872
359,659,588
292,1654,200
2023,361,38
1073,361,1578
1439,1193,1053
1284,1448,348
1066,1595,1068
1284,675,5
128,686,484
896,459,328
363,2024,1079
307,274,128
1521,865,312
387,1133,689
1450,200,1654
84,1829,112
66,1122,67
122,1532,962
628,1583,1242
1088,1456,1054
1829,763,107
1832,34,291
943,968,546
1520,1052,1865
1949,205,1927
257,1747,671
117,1580,1940
66,4,1451
66,51,1284
1122,61,51
1073,1532,1580
51,62,1091
1284,1642,215
1220,207,1701
1622,1218,1515
1448,1963,1764
541,1205,1652
1494,1033,1482
1504,1894,922
686,687,1178
216,226,1879
1395,1376,487
893,734,1287
429,443,866
687,524,1261
1658,74,1700
1515,94,1967
1931,2012,370
1246,1054,1829
802,151,31
135,741,1652
620,918,244
2054,561,1803
89,182,1626
30,546,517
638,1915,1849
92,578,1284
361,659,742
152,768,546
1458,875,1026
983,930,929
132,1355,831
1494,1106,381
539,538,1483
700,789,116
1079,1071,1070
1382,699,632
576,893,295
572,700,624
952,1167,531
659,200,545
1289,1638,519
1261,659,751
504,753,1246
570,189,1253
1995,496,1654
1254,546,943
802,454,31
1223,1217,409
236,484,313
318,1913,1068
138,628,1503
1638,1159,583
1949,1893,546
1071,525,1556
790,116,469
1501,1918,611
359,907,1052
583,1217,186
1043,1048,558
1515,1157,1708
179,841,1622
558,111,1563
627,234,493
628,120,1062
220,1246,677
1963,717,1033
907,628,968
546,1174,1050
1370,155,763
659,611,532
141,906,686
309,1284,700
116,924,923
200,1654,632
112,1485,1374
906,136,215
624,1020,1149
875,1808,627
951,1893,243
693,1913,1590
1802,520,936
1068,310,795
944,951,893
628,1070,831
610,1133,1061
687,1261,1327
93,632,1382
107,452,967
899,784,1383
875,485,994
1341,969,637
1776,1284,700
1977,1334,757
1556,92,868
1501,659,1450
1205,1299,105
203,1090,188
546,1254,621
74,686,1383
200,1299,822
637,632,454
687,773,121
35,179,967
659,436,687
1648,1934,1769
802,1051,702
562,1556,2024
1284,91,190
1253,1842,186
1370,1450,631
1515,1656,1163
659,1178,687
1823,348,288
576,1327,388
1140,158,1928
875,1532,1071
257,1393,262
792,295,207
1435,974,1484
111,558,664
179,603,174
188,868,1675
187,1610,1289
31,585,1503
1376,1178,581
1362,200,1134
1282,1382,78
1061,1654,972
1984,3,687
481,1730,1079
655,625,1727
1654,262,1986
1506,1875,250
84,988,1650
913,822,1261
659,973,504
1706,1495,1727
1706,1515,179
2099,1980,1341
1407,1949,1016
1879,1387,1965
295,575,822
913,1494,576
212,841,166
1802,965,925
1403,1435,827
621,1385,215
1174,546,1048
1435,700,1335
212,1035,1486
75,1879,1748
259,2001,1808
1328,976,812
1789,525,1618
742,508,1423
1385,1366,792
861,1052,307
1893,1656,1949
135,1140,755
1059,872,1061
908,1960,1595
484,579,1383
929,930,336
1328,752,588
1580,1533,628
1654,1052,1865
1803,143,1541
1877,200,94
627,823,336
1654,1061,525
259,114,707
247,1494,921
501,1058,1623
1068,469,1059
951,1927,546
1658,1178,792
1747,1064,1706
964,365,144
1515,875,469
924,923,138
823,522,923
921,1950,788
792,700,1375
1061,1253,1654
3,1057,501
1946,663,1280
1992,1370,546
107,1174,1051
823,1061,522
359,501,388
741,471,1237
182,554,1748
1842,249,1246
266,217,234
309,602,907
493,496,1830
873,840,1796
247,1950,1943
1480,750,1829
234,823,627
259,284,128
1814,35,603
1035,1089,823
1956,1984,1965
261,914,1442
1725,1430,1052
1965,356,1977
135,1998,1162
1959,624,128
940,245,1520
1829,1984,687
1135,1977,31
1654,525,1934
1520,94,1817
1814,234,984
789,1533,865
1943,247,1694
802,257,60
266,259,914
1533,1456,1585
130,1867,1207
1974,1532,1700
1376,2013,249
1595,1046,1985
135,876,359
34,469,872
1601,719,200
866,1263,699
119,1789,1029
151,588,1327
469,968,907
222,2075,335
386,1263,1351
291,34,1084
469,1913,1054
707,1149,228
1196,1828,84
732,731,291
1070,875,469
1520,502,1088
1026,1061,824
1914,1654,627
484,313,114
345,1284,700
621,1068,924
675,1032,1284
318,1000,1067
484,259,114
1007,1133,361
1500,309,249
1503,1272,922
671,817,1026
1067,115,1059
943,1254,1068
342,802,1990
1504,817,695
1173,698,1128
452,130,1061
628,929,930
1132,1108,760
1802,1263,804
135,35,1520
1747,659,509
1392,1333,1812
1378,82,365
1284,675,1558
1157,1845,179
802,546,621
1242,1199,1456
2075,1859,343
680,121,228
338,89,262
337,261,493
784,875,779
1072,737,1532
347,2071,2011
320,801,292
476,1059,115
627,875,1541
1134,1347,116
1556,1386,790
341,2071,2011
1284,1776,249
1916,2059,1803
1148,1125,565
1091,66,51
893,546,501
1928,1623,1052
1841,1547,1285
501,1370,1450
787,1990,272
1252,687,1383
113,1771,969
576,388,122
33,595,1288
1089,92,1583
228,627,2025
971,1556,235
899,1219,1570
243,479,875
1450,1595,289
1574,1931,365
1045,733,343
443,1654,576
353,1370,1623
387,155,875
482,1893,888
374,31,1263
866,1382,1263
1132,1464,440
1287,525,1252
442,1257,1986
659,1450,1385
1174,1503,1457
858,295,165
1423,200,1652
2012,59,1927
411,893,1752
291,34,469
1643,91,480
298,1263,1107
160,659,690
687,359,469
700,189,359
582,1383,761
586,780,1450
1532,971,890
12,1973,890
102,942,1486
538,1483,1984
135,482,891
293,208,1053
1450,1984,687
1042,207,189
574,1310,72
1196,1165,1164
1021,400,663
1327,1494,18
904,1469,1355
1610,1448,2013
547,380,541
939,1004,376
107,659,1465
410,295,1485
409,151,92
413,383,1377
1590,243,365
411,383,1377
1347,700,249
802,1648,1965
546,968,923
1960,742,1178
419,411,413
411,1384,965
1134,734,659
925,926,1802
115,1803,627
422,1803,875
985,1541,143
1533,1072,628
1610,421,1284
628,149,421
546,1966,1287
443,78,951
546,1052,1146
429,78,1816
875,964,365
1912,1431,792
1282,148,944
1450,1370,387
659,1246,169
1384,2012,205
1656,1515,220
582,841,1547
220,763,1595
1515,1539,1905
576,1966,1480
429,1774,866
1966,356,1995
939,361,663
1986,1966,444
1539,546,291
365,244,1573
677,200,212
482,1539,1515
923,924,1624
967,107,1654
1056,742,1532
1174,1287,802
468,1149,715
34,291,1456
622,1698,184
1137,974,1574
200,1497,1261
1485,1563,1252
589,244,1553
1071,1061,1006
115,318,1067
1067,476,1470
1020,1149,779
472,1913,469
628,875,502
455,514,1690
790,873,300
149,54,1007
362,952,929
466,474,1913
1008,807,563
472,1064,475
562,1370,474
469,115,479
847,779,952
968,476,479
476,966,365
1643,482,126
1134,1248,1500
1515,1163,1084
1373,519,966
313,259,624
875,155,466
1556,968,1088
1178,309,1652
666,1825,1052
959,1196,942
1207,742,1139
83,1977,1246
1199,470,1859
1830,914,627
1789,663,918
1061,924,923
121,624,261
86,620,31
1497,151,84
719,508,212
603,891,1375
1829,1370,1052
628,825,1072
488,1527,469
506,505,1287
504,1503,506
504,505,205
988,1825,1400
742,1486,220
1520,328,200
295,1706,752
359,576,572
1500,165,1284
515,516,1586
530,1421,952
513,516,517
513,515,517
516,31,662
1252,687,1654
1494,179,804
1802,866,710
1848,965,841
1254,1178,1654
1520,377,179
1652,1601,547
968,119,1061
244,546,1539
873,968,790
715,907,531
968,1079,1071
132,812,120
715,1231,907
135,873,1253
1829,107,359
1448,1764,643
1066,763,1043
572,1131,686
1486,508,33
763,872,1483
291,34,98
578,663,508
572,524,201
825,462,1006
559,1485,207
288,348,961
1178,1652,105
1480,621,1287
524,1652,107
717,747,1214
1977,1503,741
585,200,197
630,546,111
1967,1304,546
158,1393,1501
546,1052,1252
220,1965,275
359,220,663
1191,628,1706
107,967,987
1986,792,377
86,94,875
1803,875,94
628,1231,994
466,875,473
261,0,493
1539,966,1818
452,1815,49
508,663,1486
1165,1164,295
74,1652,421
546,1054,235
777,591,1905
1450,586,687
1028,1595,440
928,927,755
700,207,421
359,751,442
762,588,837
540,1284,610
1383,624,234
1640,121,862
1376,1355,700
761,1547,390
1375,673,1656
768,1174,987
200,189,588
1450,572,359
2005,1782,700
734,1385,802
893,940,1807
611,553,504
571,777,775
1497,320,1964
819,1244,761
872,1254,1052
300,1054,1132
1051,132,1026
827,660,14
1457,1314,1054
1237,1383,1920
936,1326,577
1652,1458,825
1385,911,493
604,186,174
603,1641,847
1949,875,840
1366,700,1705
893,659,1133
1405,189,1253
893,1725,631
33,675,150
121,1501,1327
546,1287,1147
1054,546,1623
109,599,171
1366,606,498
905,843,1486
618,1289,1494
617,18,480
175,1990,1880
840,86,31
1492,1503,546
457,1994,1698
624,1284,496
121,496,579
112,1967,501
778,2023,574
823,875,493
1084,149,1231
671,1006,469
551,579,624
1654,501,388
947,1382,804
1061,627,823
1026,1913,923
1068,1386,924
872,621,546
1706,166,632
621,1485,1879
628,502,1473
812,469,1087
1178,812,530
656,655,1051
1084,1448,309
643,895,1953
968,966,1072
1623,300,1075
961,100,833
1586,513,516
1539,1435,220
1644,1661,670
1556,1007,628
807,473,1084
1228,1402,965
540,508,656
656,1385,1146
655,107,135
974,1994,1698
1312,234,1026
1134,1246,1450
597,974,827
695,516,662
31,517,30
508,1556,999
185,673,1434
179,135,107
488,1370,175
2037,1532,1376
1167,228,929
911,1006,742
1661,1772,812
1913,1026,629
675,610,292
1375,1287,235
